numOfTest,numOfNode,averageTime(Matrix),averageTime(List)
100,0,0,0
100,10,10,0
100,20,0,40
100,30,20,20
100,40,20,30
100,50,20,30
100,60,60,79
100,70,40,70
100,80,19,90
100,90,60,60
100,100,90,100
100,110,120,100
100,120,80,130
100,130,135,175
100,140,160,90
100,150,193,140
100,160,215,175
100,170,246,223
100,180,240,130
100,190,280,190
100,200,310,160
100,210,280,180
100,220,369,161
100,230,440,143
100,240,430,240
100,250,389,290
100,260,500,330
100,270,405,249
100,280,520,253
100,290,522,313
100,300,585,270
100,310,679,323
100,320,740,266
100,330,695,250
100,340,719,239
100,350,750,239
100,360,873,300
100,370,913,323
100,380,1080,370
100,390,1083,450
100,400,1158,460
100,410,1070,350
100,420,1366,344
100,430,1249,430
100,440,1160,475
100,450,1426,480
100,460,1481,440
100,470,1673,537
100,480,1390,408
100,490,1696,455
100,500,1459,545
100,510,1880,580
100,520,2026,419
100,530,1847,490
100,540,1764,506
100,550,2005,578
100,560,2378,450
100,570,2003,555
100,580,2150,570
100,590,2162,440
100,600,2338,529
100,610,2710,590
100,620,2718,594
100,630,2773,530
100,640,2794,605
100,650,2892,593
100,660,3051,609
100,670,2571,627
100,680,3311,739
100,690,2861,599
100,700,3186,642
100,710,3040,580
100,720,3082,653
100,730,3422,702
100,740,3340,730
100,750,3357,723
100,760,3444,666
100,770,3407,671
100,780,3798,702
100,790,4251,910
100,800,4005,762
100,810,4183,781
100,820,3980,630
100,830,4282,819
100,840,4318,788
100,850,4449,911
100,860,4740,831
100,870,5503,870
100,880,4826,616
100,890,5060,883
100,900,5165,816
100,910,5491,830
100,920,5581,920
100,930,4880,750
100,940,5499,864
100,950,5980,986
100,960,6391,930
100,970,6279,1020
100,980,5579,882
100,990,6123,772
100,1000,6539,905
