numOfTest,numOfNode,averageTime(Matrix),averageTime(List)
100,0,0,0
100,10,10,0
100,20,10,40
100,30,30,50
100,40,50,39
100,50,70,100
100,60,50,50
100,70,100,60
100,80,80,140
100,90,140,150
100,100,140,190
100,110,200,160
100,120,249,175
100,130,260,210
100,140,290,180
100,150,340,220
100,160,370,220
100,170,390,360
100,180,425,318
100,190,530,269
100,200,576,299
100,210,611,333
100,220,640,340
100,230,714,380
100,240,829,397
100,250,845,380
100,260,921,430
100,270,1071,535
100,280,1070,340
100,290,1150,500
100,300,1339,760
100,310,1367,444
100,320,1448,467
100,330,1461,500
100,340,1639,510
100,350,1700,591
100,360,1709,770
100,370,1963,692
100,380,1838,621
100,390,1832,559
100,400,2159,730
100,410,2231,709
100,420,2429,580
100,430,2454,757
100,440,2628,720
100,450,2774,710
100,460,3053,875
100,470,2978,798
100,480,3091,695
100,490,3155,811
100,500,3399,819
100,510,3351,882
100,520,3619,790
100,530,3728,831
100,540,3911,820
100,550,3970,820
100,560,4221,960
100,570,4346,1050
100,580,4401,976
100,590,4694,1021
100,600,4808,1001
100,610,5040,980
100,620,5336,995
100,630,5405,1152
100,640,5385,1062
100,650,5660,1080
100,660,5754,1107
100,670,6238,1150
100,680,6017,1120
100,690,6292,1174
100,700,6577,1151
100,710,6730,1257
100,720,6890,1319
100,730,6939,1324
100,740,7321,1349
100,750,7410,1300
100,760,7730,1290
100,770,7729,1381
100,780,7842,1352
100,790,8344,1345
100,800,8453,1427
100,810,8826,1432
100,820,5806,898
100,830,9130,1471
100,840,9323,1539
100,850,9510,1474
100,860,9511,1530
100,870,9934,1532
100,880,10177,1514
100,890,10252,1479
100,900,10685,1479
100,910,10848,1770
100,920,11057,1543
100,930,11343,1550
100,940,11642,1539
100,950,11801,1676
100,960,11934,1626
100,970,12394,1666
100,980,12413,1678
100,990,12758,1650
100,1000,12923,1740
