numOfTest,numOfNode,averageTime(Matrix),averageTime(List)
100,0,0,0
100,10,0,9
100,20,10,20
100,30,0,49
100,40,20,60
100,50,79,60
100,60,70,100
100,70,80,99
100,80,118,116
100,90,169,99
100,100,160,210
100,110,169,170
100,120,290,119
100,130,360,250
100,140,320,190
100,150,380,220
100,160,399,270
100,170,358,330
100,180,349,270
100,190,467,200
100,200,527,219
100,210,640,299
100,220,709,240
100,230,819,300
100,240,862,348
100,250,879,380
100,260,1050,350
100,270,1013,335
100,280,1000,421
100,290,1217,429
100,300,1307,472
100,310,1390,549
100,320,1429,500
100,330,1615,510
100,340,1608,489
100,350,1637,491
100,360,1699,550
100,370,1986,681
100,380,2072,724
100,390,2039,540
100,400,2320,659
100,410,2249,620
100,420,2500,550
100,430,2461,660
100,440,2539,700
100,450,2809,760
100,460,2960,651
100,470,2900,770
100,480,2946,769
100,490,3748,910
100,500,2909,748
100,510,3393,807
100,520,3478,785
100,530,3891,889
100,540,3970,919
100,550,4018,904
100,560,4100,880
100,570,4259,809
100,580,4500,994
100,590,4953,1175
100,600,4865,1040
100,610,4810,983
100,620,5208,1039
100,630,5529,1077
100,640,5251,1111
100,650,5562,1081
100,660,5570,1177
100,670,5835,1220
100,680,6446,1258
100,690,6148,1509
100,700,6473,1226
100,710,6502,1205
100,720,6660,1151
100,730,7290,1229
100,740,7579,1303
100,750,7576,1331
100,760,7684,1380
100,770,7981,1414
100,780,7641,1285
100,790,8337,1429
100,800,8401,1420
100,810,8572,1482
100,820,8932,1549
100,830,9263,1425
100,840,8698,1429
100,850,9368,1490
100,860,9605,1491
100,870,9833,1593
100,880,9903,1601
100,890,10102,1640
100,900,10818,1654
100,910,11563,1794
100,920,11456,1779
100,930,11104,1700
100,940,11126,1659
100,950,11294,1562
100,960,11333,1814
100,970,12226,1664
100,980,12288,1814
100,990,12424,1745
100,1000,12695,1760
