numOfTest,numOfNode,averageTime(Matrix),averageTime(List)
100,0,0,0
100,10,10,10
100,20,9,60
100,30,19,30
100,40,19,70
100,50,60,90
100,60,140,40
100,70,130,60
100,80,149,69
100,90,199,110
100,100,239,110
100,110,238,195
100,120,322,157
100,130,640,140
100,140,370,300
100,150,495,240
100,160,550,290
100,170,559,275
100,180,580,339
100,190,680,239
100,200,750,319
100,210,820,329
100,220,760,300
100,230,920,379
100,240,967,390
100,250,1076,465
100,260,1400,570
100,270,1204,485
100,280,1281,469
100,290,1371,509
100,300,1516,479
100,310,1559,480
100,320,1669,509
100,330,1665,641
100,340,2024,683
100,350,1953,567
100,360,2008,588
100,370,2149,600
100,380,2314,607
100,390,2469,655
100,400,2480,751
100,410,2600,739
100,420,2786,846
100,430,2870,780
100,440,2996,720
100,450,3092,786
100,460,3256,731
100,470,3411,792
100,480,3490,789
100,490,3694,847
100,500,3829,890
100,510,3975,973
100,520,4064,946
100,530,4191,972
100,540,4298,1011
100,550,4565,1000
100,560,4727,997
100,570,5131,1180
100,580,4806,1030
100,590,5179,1104
100,600,5330,1220
100,610,5653,1229
100,620,5655,1150
100,630,5963,1138
100,640,6282,1208
100,650,6337,1270
100,660,6499,1269
100,670,7281,1410
100,680,7002,1237
100,690,6786,1220
100,700,7322,1347
100,710,7672,1330
100,720,7553,1349
100,730,7767,1430
100,740,8198,1424
100,750,8208,1439
100,760,8536,1431
100,770,8993,1464
100,780,9029,1558
100,790,9004,1489
100,800,9391,1491
100,810,9618,1587
100,820,10022,1740
100,830,10119,1670
100,840,10489,1750
100,850,10680,1541
100,860,10527,1720
100,870,10917,1711
100,880,11228,1642
100,890,11403,1667
100,900,11744,1729
100,910,11860,1676
100,920,12562,1937
100,930,12135,1852
100,940,12796,1810
100,950,12896,1924
100,960,13082,1772
100,970,13473,1879
100,980,13546,1933
100,990,13619,1819
100,1000,14039,1865
